Unnamed: 0.1,Unnamed: 0,Wavelength (nm),Sum,Intensity,Bi III (3.3e-02),Denoised,Normalized
429,429,223.55,5.221,5.221,,-1411.6376260004229,0.004970759406624823
430,430,223.57,1.046,1.046,,-454.23865348116203,0.004971556168408759
431,431,223.6,0.08312,0.08312,,-134.8188227997477,0.004971821994382488
432,432,223.62,0.01418,0.01418,,-17.175337879528765,0.004971919899055048
433,433,223.65,0.0008853,0.0008853,,-1.8177560119632217,0.004971932679865011
434,434,223.68,4.783e-05,4.783e-05,,-0.40519173574713396,0.0049719338554221875
435,435,223.7,6.308e-06,6.308e-06,,-0.08442732554317041,0.00497193412236714
436,436,223.72,7.801e-07,7.801e-07,,-0.006593000034312374,0.004971934187142033
437,437,226.97,1.002e-08,1.002e-08,,-0.0013925603394405633,0.004971934191469917
438,438,227.0,2.283e-07,2.283e-07,,-0.0012733528455011688,0.004971934191569123
439,439,227.03,4.525e-06,4.525e-06,,-0.013974542354359014,0.004971934180999002
440,440,227.05,3.068e-05,3.068e-05,,-0.13894943322498876,0.004971934076993024
441,441,227.07,0.0001956,0.0001956,,-0.5601918512895585,0.0049719337264287665
442,442,227.1,0.002804,0.002804,,-2.1135781256084436,0.004971932433677411
443,443,227.12,0.01532,0.01532,,-16.034366678726848,0.004971920848588394
444,444,227.15,0.1742,0.1742,,-101.33190471883476,0.004971849862697951
445,445,227.18,1.724,1.724,,-290.07192561324086,0.004971692790421852
446,446,227.2,7.356,7.356,,-756.5924194069947,0.0049713045450700735
447,447,227.22,29.51,29.51,,-3652.6695763729704,0.004968894386224878
448,448,227.25,211.2,211.2,,-14626.274880466237,0.0049597619873094235
449,449,227.28,1315.0,1315.0,,-28222.417485314745,0.004948447073519644
450,450,227.3,4122.0,4122.0,,-84140.13198135215,0.004901911512865951
451,451,227.32,12150.0,12150.0,,-122438.53945454558,0.004870039003769842
452,452,227.35,54710.0,54710.0,,-114114.2041025638,0.004876966640497578
453,453,227.38,214400.0,214400.0,,-229729.16130536053,0.0047807501391281225
454,454,227.4,493500.0,493500.0,,-290579.37529137306,0.00473010967842158
455,455,227.43,1535000.0,1535000.0,,760435.4265734352,0.005604779959582201
456,456,227.45,3027000.0,3027000.0,,3354244.9650349864,0.007763387159269475
457,457,227.47,5612000.0,5612000.0,,7403974.4522144925,0.011133632776068495
458,458,227.5,12620000.0,12620000.0,,14637212.354312427,0.01715324184180596
459,459,227.53,24700000.0,24700000.0,,24820547.7855479,0.025627966316654382
460,460,227.55,35780000.0,35780000.0,,38168650.34965052,0.03673645746443769
461,461,227.57,48720000.0,48720000.0,,53049477.855478086,0.04912050529642925
462,462,227.6,68950000.0,68950000.0,,67160974.35897465,0.06086430432990674
463,463,227.62,80450000.0,80450000.0,,78647832.16783251,0.07042383967755274
464,464,227.65,90330000.0,90330000.0,,85057878.78787915,0.0757583766122001
465,465,227.68,88260000.0,88260000.0,,84813473.19347355,0.07555497861095722
466,466,227.7,80450000.0,80450000.0,,77880979.02097934,0.06978565298753005
467,467,227.72,68950000.0,68950000.0,,65627337.995338276,0.05958798914671437
468,468,227.75,48720000.0,48720000.0,,51064862.470862694,0.04746887860822536
469,469,227.78,29960000.0,29960000.0,,35854867.1328673,0.03481089236946691
470,470,227.8,20050000.0,20050000.0,,22806403.72960384,0.023951765425301762
471,471,227.82,12620000.0,12620000.0,,12608150.582750648,0.01546462620378139
472,472,227.85,5612000.0,5612000.0,,5798029.2307692645,0.009797141076924244
473,473,227.88,2172000.0,2172000.0,,2451929.114219131,0.007012466375348576
474,474,227.9,1068000.0,1068000.0,,842410.7179487257,0.005673001026524579
475,475,227.93,327800.0,327800.0,,-178631.29743589542,0.004823274547802589
476,476,227.95,138100.0,138100.0,,-441001.65571095597,0.004604926000633241
477,477,227.97,54710.0,54710.0,,-221885.50153846177,0.004787277750424812
478,478,228.0,12150.0,12150.0,,-90196.66089976701,0.004896871178664637
479,479,228.03,2347.0,2347.0,,-56736.65853240103,0.004924717094465605
480,480,228.05,726.1,726.1,,-16387.95790013989,0.004958295888278849
481,481,228.07,211.2,211.2,,-8624.371473146872,0.004964756861341135
482,482,228.1,29.51,29.51,,-3929.5949776783327,0.004968663924752603
483,483,228.12,7.356,7.356,,-854.4234559104917,0.004971223128614232
484,484,228.15,0.8154,0.8154,,-153.68262510704,0.004971806295643291
485,485,228.18,0.07866,0.07866,,-52.111451403025775,0.004971890824697405
486,486,228.2,0.01532,0.01532,,-16.199214261670907,0.004971920711399763
487,487,228.22,0.002804,0.002804,,-2.2221377579580945,0.004971932343332457
